time,v_pu,f_pu,omega_int,omega_bus,rocof,Pe_pu
1.1102230246251565e-15,0.9848417242033373,0.9999999999999999,1.8434829601047633e-07,-1.008357359416512e-05,2.811644485345747e-05,0.499714238248845
0.00010000000000109921,0.9847932499455373,0.9999968591724921,1.871738250182177e-07,-1.0148345695769794e-05,2.839901467150367e-05,0.499711367896581
0.0009000000000010111,0.9844054558831375,0.9999717325524302,2.1081287415757284e-07,-1.0533471865097194e-05,3.0702375693323096e-05,0.49968770620745573
0.001000000000001,0.9843569816253376,0.9999685917249225,2.138975312802689e-07,-1.0618994159541783e-05,3.099304675770816e-05,0.49968474460786905
0.001100000000000989,0.9843085073675376,0.9999654508974147,2.1701148350911377e-07,-1.0771908292110082e-05,3.129455556005445e-05,0.4996816922209922
0.001900000000000901,0.9839207133051379,0.9999403242773528,2.430393408954081e-07,-1.1477744651323236e-05,3.378136108591733e-05,0.49965611007374033
0.00200000000000089,0.9838722390473379,0.9999371834498451,2.4643305874591256e-07,-1.1533003583630757e-05,3.409489331430461e-05,0.49965290954616765
0.002100000000000879,0.9838237647895379,0.9999340426223373,2.498583195582682e-07,-1.1649336457382991e-05,3.4418151729964233e-05,0.4996496310069035
0.002900000000001013,0.9834359707271382,0.9999089160022755,2.784523200232253e-07,-1.2365880269562125e-05,3.7072188505692365e-05,0.4996223112154831
0.003000000000001002,0.9833874964693382,0.9999057751747678,2.821761599728504e-07,-1.2422498963991097e-05,3.74059305384253e-05,0.4996189050825918
0.003100000000000991,0.9833390222115382,0.99990263434726,2.859335061309095e-07,-1.2540551732422184e-05,3.774826724361195e-05,0.4996154229441437
0.0039000000000009027,0.9829512281491384,0.9998775077271981,3.172508761691039e-07,-1.3255717632133334e-05,4.0549472605962145e-05,0.499586563609652
0.004000000000000892,0.9829027538913384,0.9998743668996903,3.213233579304274e-07,-1.3312240662375757e-05,4.0900931405103615e-05,0.49958297568223076
0.004100000000000881,0.9828542796335384,0.9998712260721826,3.254310624501237e-07,-1.3430180347096905e-05,4.125986431864322e-05,0.4995793145533204
0.004900000000001015,0.9824664855711387,0.9998460994521207,3.5960899628376714e-07,-1.4144308299445518e-05,4.418828603597628e-05,0.49954911155459963
0.005000000000001004,0.9824180113133387,0.9998429586246129,3.640461482466634e-07,-1.4200691583296223e-05,4.455496307587039e-05,0.4995453666742078
0.005100000000000993,0.9823695370555388,0.9998398177971052,3.685199888989402e-07,-1.4318481208496865e-05,4.492799878899736e-05,0.4995415510419081
0.0059000000000009045,0.981981742993139,0.9998146911770432,4.0567577843396886e-07,-1.5031462701995878e-05,4.7963798972146515e-05,0.4995101998175025
0.0060000000000008935,0.981933268735339,0.9998115503495355,4.1049114660684997e-07,-1.5087709423967572e-05,4.834321896426052e-05,0.49950632237479514
0.0061000000000008825,0.9818847944775391,0.9998084095220278,4.153444222268199e-07,-1.5205355736248548e-05,4.8727889511961114e-05,0.49950237661198993
0.006900000000001016,0.9814970004151393,0.9997832829019659,4.55575587034834e-07,-1.591707077038981e-05,5.185136155811017e-05,0.4994700717911211
0.007000000000001005,0.9814485261573394,0.9997801420744582,4.6078025325999575e-07,-1.597317303283067e-05,5.224106578533916e-05,0.4994660860678391
0.007100000000000994,0.9814000518995394,0.9997770012469505,4.6602380019190067e-07,-1.6090668935042182e-05,5.263491992096122e-05,0.4994620344444434
0.007900000000000906,0.9810122578371395,0.9997518746268885,5.094082199808592e-07,-1.680102132894626e-05,5.5826490957636664e-05,0.4994289698093079
0.008000000000000895,0.9809637835793396,0.9997487337993808,5.150108186543902e-07,-1.6856973557715103e-05,5.622403750254372e-05,0.4994248999800198
0.008100000000000884,0.9809153093215396,0.999745592971873,5.206530274813667e-07,-1.697431462499409e-05,5.66246409039604e-05,0.4994207666584313
0.008900000000001018,0.9805275152591398,0.9997204663518111,5.672490770633485e-07,-1.768322662669873e-05,5.9864874250028025e-05,0.4993871351167401
0.009000000000001007,0.9804790410013399,0.9997173255243034,5.732558121417577e-07,-1.7739026404121647e-05,6.0267838306879776e-05,0.4993830052453478
0.009100000000000996,0.9804305667435399,0.9997141846967956,5.793026447247232e-07,-1.7856211428031675e-05,6.06727738906135e-05,0.49937881427663733
0.009900000000000908,0.9800427726811402,0.9996890580767337,6.291493314273044e-07,-1.856362267831303e-05,6.394237148952316e-05,0.4993448078340689
0.010000000000000897,0.9799942984233402,0.999685917249226,6.355639937401473e-07,-1.8619270324047553e-05,6.43483456685811e-05,0.4993406418702331
0.010100000000000886,0.9799458241655402,0.9996827764217182,6.420190005610191e-07,-1.8736300820264282e-05,6.475521389269884e-05,0.49933641719073485
0.01090000000000102,0.9795580301031405,0.9996576498016564,6.951361040526139e-07,-1.9442168382315027e-05,6.803501870953233e-05,0.4993022269234422
0.011000000000001009,0.9795095558453405,0.9996545089741486,7.019600889153796e-07,-1.94976669758166e-05,6.844161333520319e-05,0.4992980486991802
0.011100000000000998,0.9794610815875405,0.9996513681466409,7.08824426719653e-07,-1.96145472123028e-05,6.884803249583128e-05,0.49929381412707413
0.01190000000000091,0.9790732875251407,0.999626241526579,7.652126412160784e-07,-2.0318845458516162e-05,7.211903088275885e-05,0.4992596301544782
0.012000000000000899,0.9790248132673407,0.9996231006990712,7.724449663388814e-07,-2.0374200806770854e-05,7.252387428817496e-05,0.49925546338077215
0.012100000000000888,0.9789763390095407,0.9996199598715635,7.797174160737119e-07,-2.0490937768691336e-05,7.292748081248645e-05,0.4992512426127014
0.012900000000001022,0.978588544947141,0.9995948332515016,8.393584948944178e-07,-2.1193658285169066e-05,7.61708048423156e-05,0.49921725407053996
0.01300000000000101,0.978540070689341,0.9995916924239938,8.469958185826042e-07,-2.124887890410967e-05,7.657154365977702e-05,0.4992131223339856
0.013100000000001,0.978491596431541,0.9995885515964861,8.546728036263715e-07,-2.136548226899589e-05,7.69699923947203e-05,0.49920893894170554
0.013900000000000912,0.9781038023691413,0.9995634249764241,9.175297060671799e-07,-2.2066633734539928e-05,8.016692216059745e-05,0.4991753339553666
0.0140000000000009,0.9780553281113413,0.9995602841489164,9.255663457096084e-07,-2.2121730839245175e-05,8.056122160800348e-05,0.49917126071485307
0.01410000000000089,0.9780068538535414,0.9995571433214087,9.336419503887787e-07,-2.2238212961939414e-05,8.095218610521226e-05,0.4991671381419102
0.014900000000001024,0.9776190597911416,0.9995320167013468,9.996589908793469e-07,-2.293782098284799e-05,8.408415198884328e-05,0.499134103800021
0.015000000000001013,0.9775705855333416,0.9995288758738391,1.0080869417204258e-06,-2.2992808449847072e-05,8.446969615159058e-05,0.4991301123834481
0.015100000000001002,0.9775221112755417,0.9995257350463314,1.016552930109663e-06,-2.3109184330219804e-05,8.485086894747249e-05,0.49912607394190844
0.015900000000000913,0.9771343172131418,0.9995006084262694,1.0856559296202032e-06,-2.3807291444600046e-05,8.789945385296455e-05,0.49909379627020833
0.016000000000000902,0.9770858429553418,0.9994974675987617,1.0944648838113085e-06,-2.386218577994456e-05,8.827394596225627e-05,0.4990899098712346
0.01610000000000089,0.9770373686975419,0.9994943267712539,1.1033107188126525e-06,-2.3978473012548634e-05,8.864303885459444e-05,0.49908597873843086
0.016900000000001025,0.9766495746351421,0.999469200151192,1.1754071584796613e-06,-2.4675138484747887e-05,9.158998040867568e-05,0.4990546426739331
0.017000000000001014,0.9766011003773422,0.9994660593236843,1.1845845244058398e-06,-2.4729958820656935e-05,9.195114311533886e-05,0.4990508843487588
0.017100000000001003,0.9765526261195422,0.9994629184961765,1.1937973871027272e-06,-2.4846177594873644e-05,9.230588743552092e-05,0.4990470835640758
0.017900000000000915,0.9761648320571424,0.9994377918761146,1.2687765640376048e-06,-2.554147728758348e-05,9.513308015473079e-05,0.4990168729294991
0.018000000000000904,0.9761163577993425,0.9994346510486068,1.2783074859154034e-06,-2.55962453473115e-05,9.547865579851485e-05,0.4990132655936922
0.018100000000000893,0.9760678835415425,0.9994315102210991,1.2878722951973057e-06,-2.5712418412352705e-05,9.581680267903205e-05,0.4990096180553993
