est,tau_ms,cutoff_freq,rmse,bias,spread,bias_clean,bias_noise,disp_iqr,frac_gt50
E0,5.0,31.830988618379067,32.44718790440723,-32.41983525706181,1.3353654230013456,2.949831498188864,-35.36966675525068,106.77016464525559,0.5773033333333334
E0,6.0005,26.523613547520263,26.935711141678013,-26.900923574403915,1.371953656716382,3.0206987769126137,-29.92162235131653,102.98016991473753,0.55169875
E0,7.2012,22.101169678927864,21.661418561250684,-21.61706797804214,1.388910175561942,3.0403884161370165,-24.657456394179157,98.76683580959825,0.5258141666666667
E0,8.6422,18.416021741211193,16.811084750151927,-16.754862240958538,1.3771873468172673,2.9537143986810044,-19.708576639639542,94.17341626469286,0.5000508333333333
E0,10.3716,15.345264288238587,12.416764816247678,-12.343334534054407,1.351768275176992,2.9553180507351584,-15.298652584789565,89.09468579726862,0.47470124999999996
E0,12.4469,12.786713405899889,8.383293520677269,-8.294114186462291,1.2226012780871496,2.7130659059695006,-11.007180092431792,83.87733680915471,0.44993125000000006
E0,14.9376,10.65465289550499,4.809161080022791,-4.692144703931653,1.057069225600037,2.957336516303748,-7.649481220235401,79.2732252842263,0.42575875
E0,17.9266,8.878144382754975,1.748590365899158,-1.506940385074116,0.8891862597740026,3.132048885266503,-4.638989270340619,74.76925241013357,0.40328083333333326
E0,21.5138,7.397807132719248,1.216610139970407,0.943695635627455,0.7697671644163413,3.871092416242057,-2.9273967806146017,70.6495278801927,0.3833150000000001
E0,25.8188,6.164304425143514,2.5002637323979737,2.3647426020317868,0.8140173702544433,3.68700735269881,-1.3222647506670233,67.84193799734851,0.3705799999999999
E0,30.9852,5.136482678565746,3.5639328152983563,3.4395173374632844,0.9357970817119748,5.210233356693994,-1.7707160192307096,68.10468345628489,0.3724716666666667
E0,37.1854,4.280038485316693,5.45562831753207,5.353206220482699,1.0548111836765788,6.080745327735819,-0.7275391072531203,73.1007452353225,0.3919625
E0,44.6263,3.5663934292534973,7.299394143053546,7.210935046897947,1.135790785579088,6.4600356726025865,0.7508993742953605,80.19851235427922,0.42210625
E0,53.5562,2.971737036830383,8.88507392609654,8.791530073457743,1.28912639956638,6.276050685410013,2.51547938804773,87.67053195709738,0.4549916666666667
E0,64.2729,2.4762371558136533,10.596262307165626,10.50864845540521,1.3632220636944556,7.7847852379457905,2.723863217459419,94.13627423962521,0.48529541666666676
E0,77.1341,2.06335386154626,13.330838424568347,13.272827293128081,1.2454172269113692,13.104454561385841,0.16837273174223988,100.47420846265547,0.5124933333333334
E0,92.5688,1.719315180621282,17.852437803743822,17.804172832358102,1.315147656674933,20.15672784932656,-2.3525550169684593,108.86445491296882,0.5411966666666667
E0,111.0921,1.432639612464751,22.047220783595503,22.00729319927118,1.3295974839267344,22.180140062853404,-0.17284686358222245,123.45204620108132,0.5783275
E0,133.3219,1.1937644384898156,25.323124059122694,25.28410004003737,1.408836891208813,23.372450976418158,1.9116490636192118,149.26562348227299,0.6271591666666666
E0,160.0,0.9947183943243458,29.641172512694148,29.595410431221374,1.6505791080123626,29.429232289003515,0.1661781422178592,186.9410665390737,0.68893
E1,5.0,31.830988618379067,42.72265865848179,-42.66038268496091,2.3117162850900246,1.9867228633984269,-44.647105548359335,55.80183147598742,0.45152416666666667
E1,6.0005,26.523613547520263,36.222447564439605,-36.15281425421241,2.2505675574498114,2.1374755585796024,-38.29028981279201,55.21756126731654,0.39369624999999997
E1,7.2012,22.101169678927864,30.42400012047034,-30.357743180214015,2.011827423627857,2.400860154068667,-32.75860333428268,53.287583510733896,0.3300591666666666
E1,8.6422,18.416021741211193,25.61325290966827,-25.55258152339174,1.766324322743293,2.9414838085340023,-28.494065331925743,50.44790316220589,0.25951
E1,10.3716,15.345264288238587,21.219326417101595,-21.136497810666533,1.8777389095014891,2.7196095305420442,-23.856107341208578,46.944979089819114,0.18615
E1,12.4469,12.786713405899889,16.76973318038477,-16.662857984637466,1.8950118932288291,2.5005789309556548,-19.16343691559312,43.48883967644126,0.13590625
E1,14.9376,10.65465289550499,12.76673871805525,-12.65279465674944,1.7061534712802375,2.1193129496170116,-14.772107606366452,39.99953309876268,0.10981458333333333
E1,17.9266,8.878144382754975,9.547037653490744,-9.429945449577637,1.494397165952911,2.0133812538930407,-11.443326703470678,37.78922323551846,0.09388916666666666
E1,21.5138,7.397807132719248,7.072777743577072,-6.941686083354025,1.35882721018677,0.924540925680617,-7.866227009034642,35.583398098339245,0.09274374999999999
E1,25.8188,6.164304425143514,5.33369834635395,-5.177027102591285,1.2864693724162146,-0.46382307365052,-4.713204028940765,35.129616007816935,0.10644708333333334
E1,30.9852,5.136482678565746,4.638620285784252,-4.473601110217483,1.2293280684379273,-0.7047870844427706,-3.768814025774712,35.94978773700605,0.12679166666666666
E1,37.1854,4.280038485316693,3.3553230869982853,-3.124168444834645,1.2269030122427882,-0.9709097267379008,-2.1532587180967444,38.887577484408375,0.15141666666666664
E1,44.6263,3.5663934292534973,2.4184942629724793,-2.093322510477398,1.2142848949856664,-0.7039678397354088,-1.389354670741989,41.484594464856386,0.18275291666666668
E1,53.5562,2.971737036830383,1.3276833567671982,-0.5271914390207756,1.2215865301784339,0.22356011955952937,-0.750751558580305,43.89449071942399,0.22059833333333334
E1,64.2729,2.4762371558136533,2.0347800320356138,1.630954959895965,1.2197354097963873,1.9090948045658607,-0.2781398446698957,49.576731925172346,0.26014458333333335
E1,77.1341,2.06335386154626,4.351097610391985,4.218234386790931,1.0697057657974378,4.548505413778692,-0.3302710269877611,56.48809313826989,0.29381666666666667
E1,92.5688,1.719315180621282,7.409101082774601,7.335464193644811,1.0446051493828774,7.695953288636623,-0.36048909499181203,62.96377357859591,0.33759999999999996
E1,111.0921,1.432639612464751,10.945759837564962,10.907553567627847,0.9160399757461418,11.326554245623672,-0.4190006779958253,70.6897922963357,0.3901091666666667
E1,133.3219,1.1937644384898156,14.710254615820087,14.68467044652323,0.8693813079174089,15.207484066983204,-0.5228136204599743,82.34182531577997,0.4334454166666667
E1,160.0,0.9947183943243458,13.80899853185385,13.744561740585342,1.3358087200878708,13.979378371777107,-0.23481663119176588,93.51695870980028,0.4771429166666667
E2,5.0,31.830988618379067,41.35429251097116,-41.27836000273098,2.511181941160867,0.07625894606336558,-41.35461894879434,59.72284609858754,0.4458195833333333
E2,6.0005,26.523613547520263,34.27009695463384,-34.18089967945249,2.4771604718356377,0.09080360131616061,-34.27170328076865,57.6552790593268,0.3921208333333333
E2,7.2012,22.101169678927864,27.577598010762188,-27.487899356709487,2.228030880988429,0.1016231851755478,-27.589522541885035,53.319314894686585,0.33428291666666665
E2,8.6422,18.416021741211193,21.806833943061765,-21.708689221836345,2.0717819121361996,0.12213497144443863,-21.830824193280783,48.456267312930706,0.2680579166666667
E2,10.3716,15.345264288238587,17.193644406003727,-17.090974719099794,1.8808720075376315,0.13633463114112843,-17.227309350240922,42.883721744398684,0.2020433333333333
E2,12.4469,12.786713405899889,13.774540867976176,-13.676649339686982,1.6433936461378964,0.2172488511123305,-13.893898190799312,37.229363152124435,0.14364166666666667
E2,14.9376,10.65465289550499,11.186947352127252,-11.096011887415827,1.427057715092358,0.26778585239725317,-11.36379773981308,32.45993703247294,0.09112041666666666
E2,17.9266,8.878144382754975,9.203048311066185,-9.123962222065648,1.2069362292367698,0.33932981331725287,-9.463292035382901,28.698890163266583,0.047663333333333335
E2,21.5138,7.397807132719248,7.6865920804735435,-7.606398702670958,1.110206910682326,0.29470366996058317,-7.9011023726315415,26.622639314567465,0.02614958333333333
E2,25.8188,6.164304425143514,6.05398583944913,-5.9451778506736215,1.1454980124789942,0.3476643068029972,-6.292842157476619,25.281114804906558,0.03603541666666667
E2,30.9852,5.136482678565746,4.260184828072561,-4.065602446640347,1.2760064567233431,0.30826065993554863,-4.373863106575896,25.072508775080152,0.04984625
E2,37.1854,4.280038485316693,2.619451636398937,-2.279771731710481,1.2932634606374542,0.3822408545713074,-2.6620125862817883,26.585060542258155,0.06709
E2,44.6263,3.5663934292534973,1.4579513773747372,-0.8632667052588117,1.1778495072329631,0.5534144760887827,-1.4166811813475944,30.897117180937745,0.09238875
E2,53.5562,2.971737036830383,1.1710383005434049,0.16027582510619456,1.1629292253365309,0.9826295246227978,-0.8223536995166033,36.9118974299983,0.12476833333333333
E2,64.2729,2.4762371558136533,1.721262917831877,1.1239162615351848,1.3069425248172775,1.4152256914126404,-0.2913094298774557,44.306866054600405,0.17526666666666668
E2,77.1341,2.06335386154626,2.6825767840873866,2.2781908527062815,1.419910338017898,2.177557145934017,0.10063370677226446,52.83150504654302,0.24655500000000002
E2,92.5688,1.719315180621282,3.863889023320176,3.536205867130751,1.5611123626595358,3.6433987624347175,-0.10719289530396647,63.21740689699041,0.305765
E2,111.0921,1.432639612464751,4.950276033413102,4.695866852066928,1.5704774150554321,3.9074964558311365,0.7883703962357913,76.05533357251872,0.3642275000000001
E2,133.3219,1.1937644384898156,6.084673405792532,5.876843702382941,1.5806488563104757,5.596324406865261,0.2805192955176805,90.98314283043246,0.46075249999999995
E2,160.0,0.9947183943243458,8.03584290925787,7.880061437936592,1.5785633684320217,7.712451356992283,0.16761008094430974,103.87816167810061,0.5266166666666666
